Address,Home Count
Abazar,22
Abbasabad,2
Absard,6
Abuzar,3
Afsarieh,6
Ahang,2
Air force,10
Ajudaniye,2
Alborz Complex,1
Aliabad South,1
Amir Bahador,4
Amirabad,14
Amirieh,12
Andisheh,82
Aqdasieh,10
Araj,2
Atabak,3
Azadshahr,5
Azarbaijan,23
Azari,1
Baghestan,8
Bahar,1
Baqershahr,1
Beryanak,25
Boloorsazi,1
Central Janatabad,90
Chahardangeh,1
Chardangeh,1
Chardivari,1
Chidz,2
Damavand,21
Darabad,3
Darakeh,1
Darband,1
Daryan No,3
Dehkade Olampic,9
Dezashib,7
Dolatabad,2
Dorous,7
East Ferdows Boulevard,73
East Pars,8
Ekbatan,7
Ekhtiarieh,35
Elahieh,7
Elm-o-Sanat,3
Enghelab,1
Eram,1
Eskandari,4
Fallah,9
Farmanieh,21
Fatemi,3
Feiz Garden,38
Firoozkooh,1
Firoozkooh Kuhsar,1
Garden of Saba,2
Gheitarieh,103
Ghiyamdasht,1
Ghoba,2
Gholhak,10
Gisha,9
Golestan,15
Haft Tir,2
Hakimiyeh,5
Hashemi,13
Hassan Abad,1
Hekmat,2
Heravi,39
Heshmatieh,4
Hor Square,6
Islamshahr,39
Islamshahr Elahieh,1
Javadiyeh,1
Jeyhoon,91
Jordan,14
Kahrizak,16
Kamranieh,5
Karimkhan,3
Karoon,20
Kazemabad,1
Keshavarz Boulevard,4
Khademabad Garden,1
Khavaran,3
Komeil,11
Koohsar,4
Kook,6
Lavizan,2
Mahallati,4
Mahmoudieh,1
Majidieh,2
Malard,2
Marzdaran,18
Mehrabad,1
Mehrabad River River,1
Mehran,8
Mirdamad,14
Mirza Shirazi,1
Moniriyeh,2
Narmak,24
Nasim Shahr,2
Nawab,2
Naziabad,1
Nezamabad,2
Niavaran,24
North Program Organization,24
Northern Chitgar,16
Northern Janatabad,33
Northern Suhrawardi,4
Northren Jamalzadeh,14
Ostad Moein,82
Ozgol,8
Pakdasht,25
Pakdasht KhatunAbad,1
Parand,127
Parastar,8
Pardis,146
Pasdaran,54
Persian Gulf Martyrs Lake,88
Pirouzi,63
Pishva,2
Punak,161
Qalandari,10
Qarchak,5
Qasr-od-Dasht,28
Qazvin Imamzadeh Hassan,11
Railway,11
Ray,9
Ray - Montazeri,1
Ray - Pilgosh,1
Razi,7
Republic,4
Robat Karim,2
Rudhen,11
Saadat Abad,107
SabaShahr,1
Sabalan,2
Sadeghieh,6
Safadasht,1
Salehabad,1
Salsabil,60
Sattarkhan,11
Seyed Khandan,3
Shadabad,1
Shahedshahr,5
Shahr-e-Ziba,108
ShahrAra,5
Shahrake Apadana,1
Shahrake Azadi,2
Shahrake Gharb,44
Shahrake Madaen,1
Shahrake Qods,69
Shahrake Quds,5
Shahrake Shahid Bagheri,2
Shahrakeh Naft,3
Shahran,130
Shahryar,12
Shams Abad,8
Shoosh,2
Si Metri Ji,23
Sohanak,1
Southern Chitgar,5
Southern Janatabad,93
Southern Program Organization,23
Southern Suhrawardi,2
Tajrish,6
Tarasht,6
Taslihat,2
Tehran Now,4
Tehransar,8
Telecommunication,1
Tenant,23
Thirteen November,1
Vahidieh,2
Vahidiyeh,2
Valiasr,7
Vanak,1
Varamin - Beheshti,1
Velenjak,8
Villa,1
Water Organization,4
Waterfall,3
West Ferdows Boulevard,143
West Pars,11
Yaftabad,3
Yakhchiabad,1
Yousef Abad,36
Zafar,9
Zaferanieh,7
Zargandeh,4
Zibadasht,1
