Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
79.0,2,True,True,True,Pardis,550000000.0,18333.33
95.0,2,True,True,True,Shahrake Qods,902500000.0,30083.33
123.0,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
70.0,2,True,True,False,North Program Organization,2050000000.0,68333.33
87.0,2,True,True,True,Pardis,600000000.0,20000.0
54.0,2,True,True,False,Andisheh,493000000.0,16433.33
68.0,2,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
95.0,2,True,True,True,Zafar,5000000000.0,166666.67
64.0,2,False,True,False,Pirouzi,1450000000.0,48333.33
93.0,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
87.0,2,True,True,True,Shahrake Shahid Bagheri,2500000000.0,83333.33
99.0,2,True,True,True,Moniriyeh,2277000000.0,75900.0
105.0,2,True,True,True,Saadat Abad,7150000000.0,238333.33
77.0,2,True,True,True,Amirieh,1771000000.0,59033.33
123.0,2,True,True,True,Pirouzi,4059000000.0,135300.0
110.0,2,True,True,True,Southern Janatabad,630000000.0,21000.0
100.0,2,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67
90.0,2,False,True,False,Salsabil,1500000000.0,50000.0
67.0,2,True,True,False,Feiz Garden,2350000000.0,78333.33
68.0,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.33
110.0,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0
129.0,2,True,True,True,West Ferdows Boulevard,5250000000.0,175000.0
109.0,2,True,True,True,West Ferdows Boulevard,4830000000.0,161000.0
150.0,2,False,True,True,Shahrake Qods,1200000000.0,40000.0
88.0,2,True,True,True,Gisha,4750000000.0,158333.33
110.0,2,True,True,True,Ray,2035000000.0,67833.33
98.0,2,True,True,True,Pardis,540000000.0,18000.0
62.0,2,False,False,True,Ostad Moein,1450000000.0,48333.33
75.0,2,False,False,False,Parand,635000000.0,21166.67
72.0,2,True,True,True,Shahran,2350000000.0,78333.33
100.0,2,True,True,True,Qasr-od-Dasht,3000000000.0,100000.0
101.0,2,True,True,True,Railway,3300000000.0,110000.0
67.0,2,True,True,True,Punak,2800000000.0,93333.33
72.0,2,True,True,False,Punak,2200000000.0,73333.33
75.0,2,True,True,False,Punak,2200000000.0,73333.33
109.0,2,True,True,True,Shahran,3500000000.0,116666.67
122.0,2,True,True,True,Aqdasieh,7000000000.0,233333.33
72.0,2,True,True,True,Amirieh,1650000000.0,55000.0
74.0,2,True,True,True,Amirieh,1700000000.0,56666.67
74.0,2,True,True,True,Amirieh,1700000000.0,56666.67
110.0,2,True,True,True,West Ferdows Boulevard,3730000000.0,124333.33
100.0,2,False,False,False,Shahrake Qods,620000000.0,20666.67
70.0,2,True,True,True,Northern Janatabad,3050000000.0,101666.67
60.0,2,True,True,False,West Ferdows Boulevard,2000000000.0,66666.67
76.0,2,True,True,True,North Program Organization,2600000000.0,86666.67
75.0,2,True,True,True,North Program Organization,2300000000.0,76666.67
65.0,2,True,True,True,Southern Program Organization,2270000000.0,75666.67
110.0,2,True,True,True,West Pars,4000000000.0,133333.33
70.0,2,True,False,True,Afsarieh,1650000000.0,55000.0
94.0,2,True,True,True,Parand,580000000.0,19333.33
97.0,2,True,True,True,Pardis,510000000.0,17000.0
110.0,2,True,True,True,Shahran,3850000000.0,128333.33
75.0,2,False,False,False,Chahardangeh,780000000.0,26000.0
85.0,2,True,True,True,Parand,410000000.0,13666.67
68.0,2,False,True,False,Pakdasht,430000000.0,14333.33
78.0,2,False,True,False,Baqershahr,800000000.0,26666.67
85.0,2,True,True,True,Parand,545000000.0,18166.67
100.0,2,True,True,False,Parand,1280000000.0,42666.67
71.0,2,True,True,True,Punak,2800000000.0,93333.33
100.0,2,True,True,True,Lavizan,3300000000.0,110000.0
82.0,2,True,False,True,Shams Abad,3280000000.0,109333.33
78.0,2,False,False,True,Parand,370000000.0,12333.33
79.0,2,False,False,False,Baghestan,750000000.0,25000.0
66.0,2,True,True,True,Salsabil,1725000000.0,57500.0
78.0,2,True,True,True,Kahrizak,780000000.0,26000.0
85.0,2,True,True,True,Shahryar,1419000000.0,47300.0
100.0,2,True,True,False,Qarchak,1200000000.0,40000.0
80.0,2,True,True,True,Northren Jamalzadeh,3600000000.0,120000.0
120.0,2,True,True,False,Shahryar,1200000000.0,40000.0
80.0,2,True,True,True,Azarbaijan,2800000000.0,93333.33
70.0,2,False,True,True,Bahar,1200000000.0,40000.0
88.0,2,True,True,True,Railway,2860000000.0,95333.33
120.0,2,True,True,True,Persian Gulf Martyrs Lake,1530000000.0,51000.0
66.0,2,False,True,False,Beryanak,1000000000.0,33333.33
70.0,2,True,True,True,Punak,3500000000.0,116666.67
75.0,2,True,False,True,Heshmatieh,3000000000.0,100000.0
70.0,2,False,True,True,Elm-o-Sanat,1800000000.0,60000.0
95.0,2,True,True,True,Golestan,950000000.0,31666.67
127.0,2,True,True,True,Southern Janatabad,6000000000.0,200000.0
63.0,2,True,True,True,Southern Janatabad,2000000000.0,66666.67
90.0,2,True,True,True,Punak,3050000000.0,101666.67
105.0,2,True,True,True,Pardis,605000000.0,20166.67
65.0,2,True,True,True,Feiz Garden,2500000000.0,83333.33
63.0,2,True,True,True,Central Janatabad,3000000000.0,100000.0
75.0,2,True,True,True,East Ferdows Boulevard,2100000000.0,70000.0
88.0,2,True,False,True,Gholhak,4700000000.0,156666.67
117.0,2,True,True,True,Islamshahr,1579500000.0,52650.0
90.0,2,True,True,True,Central Janatabad,3780000000.0,126000.0
71.0,2,False,True,True,Hashemi,1550000000.0,51666.67
71.0,2,False,True,True,Jeyhoon,1640000000.0,54666.67
67.0,2,True,True,True,Central Janatabad,2750000000.0,91666.67
86.0,2,True,True,True,Pardis,580000000.0,19333.33
84.0,2,True,True,True,Pardis,560000000.0,18666.67
94.0,2,True,True,True,Heravi,4800000000.0,160000.0
113.0,2,True,True,True,Saadat Abad,7500000000.0,250000.0
71.0,2,True,True,True,Islamshahr,630000000.0,21000.0
70.0,2,True,True,False,Dehkade Olampic,2000000000.0,66666.67
106.0,2,True,True,True,Golestan,1100000000.0,36666.67
114.0,2,True,True,True,West Pars,3820000000.0,127333.33
100.0,2,True,True,True,Punak,6000000000.0,200000.0
122.0,2,True,True,True,Saadat Abad,5800000000.0,193333.33
200.0,2,True,True,False,Damavand,3500000000.0,116666.67
83.0,2,True,True,True,Republic,1909000000.0,63633.33
104.0,2,True,True,True,East Ferdows Boulevard,5700000000.0,190000.0
135.0,2,True,True,False,Gheitarieh,7400000000.0,246666.67
86.0,2,True,True,True,Saadat Abad,6200000000.0,206666.67
75.0,2,True,True,True,East Ferdows Boulevard,2350000000.0,78333.33
82.0,2,True,True,True,Qazvin Imamzadeh Hassan,1886000000.0,62866.67
58.0,2,True,True,True,Shahran,2200000000.0,73333.33
101.0,2,True,True,True,Beryanak,2323000000.0,77433.33
90.0,2,True,True,True,Niavaran,6800000000.0,226666.67
81.0,2,True,True,True,Valiasr,1863000000.0,62100.0
100.0,2,True,True,True,Valiasr,2300000000.0,76666.67
80.0,2,True,True,True,Central Janatabad,3350000000.0,111666.67
76.0,2,True,True,True,Jeyhoon,2000000000.0,66666.67
74.0,2,True,True,True,Amir Bahador,1702000000.0,56733.33
120.0,2,True,True,True,Pasdaran,7500000000.0,250000.0
120.0,2,True,True,True,Pasdaran,7500000000.0,250000.0
85.0,2,True,True,True,Ekhtiarieh,5000000000.0,166666.67
105.0,2,True,True,True,Pardis,700000000.0,23333.33
75.0,2,True,True,True,Parand,395000000.0,13166.67
93.0,2,True,True,True,Rudhen,1450000000.0,48333.33
75.0,2,True,True,True,Islamshahr,715000000.0,23833.33
86.0,2,True,True,False,Islamshahr,1200000000.0,40000.0
120.0,2,True,True,True,Southern Program Organization,4260000000.0,142000.0
95.0,2,True,True,True,Andisheh,1500000000.0,50000.0
70.0,2,True,True,False,West Ferdows Boulevard,2120000000.0,70666.67
75.0,2,True,True,False,East Ferdows Boulevard,2000000000.0,66666.67
81.0,2,True,False,True,Pardis,590000000.0,19666.67
75.0,2,True,True,True,East Ferdows Boulevard,2730000000.0,91000.0
106.0,2,True,True,False,East Ferdows Boulevard,3150000000.0,105000.0
115.0,2,True,True,True,East Ferdows Boulevard,4600000000.0,153333.33
100.0,2,True,True,True,Shahr-e-Ziba,3000000000.0,100000.0
118.0,2,True,True,True,East Ferdows Boulevard,4500000000.0,150000.0
116.0,2,True,True,True,East Ferdows Boulevard,5100000000.0,170000.0
76.0,2,True,True,True,Shahr-e-Ziba,2200000000.0,73333.33
74.0,2,True,True,False,East Ferdows Boulevard,2300000000.0,76666.67
96.0,2,True,True,True,Saadat Abad,4500000000.0,150000.0
87.0,2,True,True,True,Pardis,625000000.0,20833.33
78.0,2,True,True,True,Shahr-e-Ziba,2250000000.0,75000.0
78.0,2,True,True,True,Southern Janatabad,3600000000.0,120000.0
95.0,2,True,True,True,Southern Janatabad,4400000000.0,146666.67
113.0,2,True,True,True,Punak,4300000000.0,143333.33
