Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
63.0,1,True,True,True,Shahran,1850000000.0,61666.67
60.0,1,True,True,True,Shahran,1850000000.0,61666.67
79.0,2,True,True,True,Pardis,550000000.0,18333.33
95.0,2,True,True,True,Shahrake Qods,902500000.0,30083.33
123.0,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
70.0,2,True,True,False,North Program Organization,2050000000.0,68333.33
87.0,2,True,True,True,Pardis,600000000.0,20000.0
59.0,1,True,True,True,Shahran,2150000000.0,71666.67
54.0,2,True,True,False,Andisheh,493000000.0,16433.33
71.0,1,True,True,True,West Ferdows Boulevard,2370000000.0,79000.0
68.0,2,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
64.0,1,True,True,True,Narmak,2100000000.0,70000.0
95.0,2,True,True,True,Zafar,5000000000.0,166666.67
155.0,3,True,True,True,Narmak,6700000000.0,223333.33
140.0,3,True,True,True,West Ferdows Boulevard,6400000000.0,213333.33
93.0,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
87.0,2,True,True,True,Shahrake Shahid Bagheri,2500000000.0,83333.33
65.0,1,True,True,True,Shahran,1880000000.0,62666.67
99.0,2,True,True,True,Moniriyeh,2277000000.0,75900.0
105.0,2,True,True,True,Saadat Abad,7150000000.0,238333.33
77.0,2,True,True,True,Amirieh,1771000000.0,59033.33
123.0,2,True,True,True,Pirouzi,4059000000.0,135300.0
110.0,2,True,True,True,Southern Janatabad,630000000.0,21000.0
100.0,2,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67
49.0,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
67.0,2,True,True,False,Feiz Garden,2350000000.0,78333.33
68.0,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.33
62.0,1,True,False,True,Water Organization,2150000000.0,71666.67
55.0,1,True,True,True,West Ferdows Boulevard,2150000000.0,71666.67
110.0,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0
129.0,2,True,True,True,West Ferdows Boulevard,5250000000.0,175000.0
109.0,2,True,True,True,West Ferdows Boulevard,4830000000.0,161000.0
58.0,1,True,True,True,Saadat Abad,3400000000.0,113333.33
55.0,1,True,True,True,Saadat Abad,3850000000.0,128333.33
130.0,3,True,True,False,ShahrAra,5000000000.0,166666.67
88.0,2,True,True,True,Gisha,4750000000.0,158333.33
51.0,1,True,True,True,Gisha,2980000000.0,99333.33
113.0,3,True,True,False,Shahrake Gharb,7000000000.0,233333.33
110.0,2,True,True,True,Ray,2035000000.0,67833.33
60.0,1,True,True,True,Abbasabad,2460000000.0,82000.0
98.0,2,True,True,True,Pardis,540000000.0,18000.0
61.0,1,True,True,False,Punak,2030000000.0,67666.67
61.0,1,True,True,False,Punak,2030000000.0,67666.67
72.0,2,True,True,True,Shahran,2350000000.0,78333.33
100.0,2,True,True,True,Qasr-od-Dasht,3000000000.0,100000.0
122.0,3,True,True,True,Aqdasieh,7200000000.0,240000.0
215.0,3,True,True,True,Pakdasht,1750000000.0,58333.33
101.0,2,True,True,True,Railway,3300000000.0,110000.0
67.0,2,True,True,True,Punak,2800000000.0,93333.33
72.0,2,True,True,False,Punak,2200000000.0,73333.33
63.0,1,True,True,False,Punak,2200000000.0,73333.33
75.0,2,True,True,False,Punak,2200000000.0,73333.33
109.0,2,True,True,True,Shahran,3500000000.0,116666.67
122.0,2,True,True,True,Aqdasieh,7000000000.0,233333.33
70.0,1,True,True,True,Central Janatabad,3100000000.0,103333.33
60.0,1,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
53.0,1,True,True,False,East Ferdows Boulevard,1920000000.0,64000.0
72.0,2,True,True,True,Amirieh,1650000000.0,55000.0
74.0,2,True,True,True,Amirieh,1700000000.0,56666.67
63.0,1,True,True,True,Punak,2150000000.0,71666.67
114.0,3,True,True,True,Sattarkhan,5500000000.0,183333.33
42.0,1,True,False,True,Shahran,1760000000.0,58666.67
74.0,2,True,True,True,Amirieh,1700000000.0,56666.67
63.0,1,True,True,True,Punak,2150000000.0,71666.67
114.0,3,True,True,True,Sattarkhan,5500000000.0,183333.33
42.0,1,True,False,True,Shahran,1760000000.0,58666.67
300.0,3,True,True,False,Baghestan,1500000000.0,50000.0
110.0,2,True,True,True,West Ferdows Boulevard,3730000000.0,124333.33
70.0,2,True,True,True,Northern Janatabad,3050000000.0,101666.67
60.0,2,True,True,False,West Ferdows Boulevard,2000000000.0,66666.67
76.0,2,True,True,True,North Program Organization,2600000000.0,86666.67
148.0,3,True,True,True,Daryan No,5990000000.0,199666.67
75.0,2,True,True,True,North Program Organization,2300000000.0,76666.67
40.0,1,True,True,False,Pirouzi,1300000000.0,43333.33
65.0,2,True,True,True,Southern Program Organization,2270000000.0,75666.67
140.0,3,True,True,True,Rudhen,4000000000.0,133333.33
110.0,2,True,True,True,West Pars,4000000000.0,133333.33
70.0,2,True,False,True,Afsarieh,1650000000.0,55000.0
128.0,3,True,True,True,Marzdaran,6700000000.0,223333.33
94.0,2,True,True,True,Parand,580000000.0,19333.33
67.0,1,True,True,True,Punak,2300000000.0,76666.67
75.0,1,True,True,True,Shahrake Qods,650000000.0,21666.67
97.0,2,True,True,True,Pardis,510000000.0,17000.0
110.0,2,True,True,True,Shahran,3850000000.0,128333.33
150.0,3,True,True,True,Sadeghieh,6000000000.0,200000.0
137.0,3,True,True,True,ShahrAra,7200000000.0,240000.0
85.0,2,True,True,True,Parand,410000000.0,13666.67
85.0,2,True,True,True,Parand,545000000.0,18166.67
100.0,2,True,True,False,Parand,1280000000.0,42666.67
71.0,2,True,True,True,Punak,2800000000.0,93333.33
136.0,3,True,True,False,Parand,750000000.0,25000.0
100.0,2,True,True,True,Lavizan,3300000000.0,110000.0
82.0,2,True,False,True,Shams Abad,3280000000.0,109333.33
120.0,3,True,True,True,Fatemi,4800000000.0,160000.0
139.0,3,True,True,True,Gisha,7300000000.0,243333.33
110.0,3,True,True,True,Keshavarz Boulevard,3950000000.0,131666.67
66.0,2,True,True,True,Salsabil,1725000000.0,57500.0
78.0,2,True,True,True,Kahrizak,780000000.0,26000.0
85.0,2,True,True,True,Shahryar,1419000000.0,47300.0
100.0,2,True,True,False,Qarchak,1200000000.0,40000.0
80.0,2,True,True,True,Northren Jamalzadeh,3600000000.0,120000.0
44.0,1,True,True,False,Salsabil,1050000000.0,35000.0
