Address,Mean Price(USD)
Abazar,161613.63590909092
Abbasabad,107666.665
Absard,141111.11000000002
Abuzar,50944.443333333336
Afsarieh,62222.22166666667
Ahang,36666.67
Air force,106259.999
Ajudaniye,213333.33500000002
Alborz Complex,21500.0
Aliabad South,28333.33
Amir Bahador,127325.0
Amirabad,137261.90357142856
Amirieh,59680.556666666664
Andisheh,58065.122317073176
Aqdasieh,248333.332
Araj,226666.665
Atabak,38738.886666666665
Azadshahr,128666.66600000001
Azarbaijan,60014.493043478265
Azari,54666.67
Baghestan,23562.50125
Bahar,40000.0
Baqershahr,26666.67
Beryanak,38150.6668
Boloorsazi,53333.33
Central Janatabad,115943.2231868132
Chahardangeh,26000.0
Chardangeh,40000.0
Chardivari,254400.0
Chidz,193333.335
Damavand,97356.06
Darabad,201666.66666666666
Darakeh,96666.67
Darband,136666.67
Daryan No,203222.22333333336
Dehkade Olampic,144166.66777777777
Dezashib,350119.04714285716
Dolatabad,36416.67
Dorous,259047.62000000002
East Ferdows Boulevard,123636.98602739727
East Pars,73315.41625000001
Ekbatan,115238.0942857143
Ekhtiarieh,223361.9057142857
Elahieh,318095.23714285716
Elm-o-Sanat,77222.22333333333
Enghelab,51333.33
Eram,99000.0
Eskandari,51916.667499999996
Fallah,34040.74222222222
Farmanieh,270301.58666666667
Fatemi,135555.55333333332
Feiz Garden,101877.19315789473
Firoozkooh,15666.67
Firoozkooh Kuhsar,25000.0
Garden of Saba,218133.33500000002
Gheitarieh,276173.07740384614
Ghiyamdasht,21333.33
Ghoba,247500.0
Gholhak,226666.667
Gisha,183903.70222222223
Golestan,47277.778000000006
Haft Tir,125833.335
Hakimiyeh,104199.99799999999
Hashemi,42866.666923076926
Hassan Abad,17000.0
Hekmat,262833.335
Heravi,227176.06820512822
Heshmatieh,118750.0
Hor Square,52474.165
Islamshahr,41914.10230769231
Islamshahr Elahieh,58333.33
Javadiyeh,48333.33
Jeyhoon,58270.00021978022
Jordan,261878.57214285713
Kahrizak,36073.957500000004
Kamranieh,262666.666
Karimkhan,157444.44666666666
Karoon,39991.667499999996
Kazemabad,100000.0
Keshavarz Boulevard,98083.335
Khademabad Garden,58500.0
Khavaran,22522.22333333333
Komeil,38357.575454545455
Koohsar,110416.665
Kook,216455.55500000002
Lavizan,99166.66500000001
Mahallati,222500.0
Mahmoudieh,280000.0
Majidieh,68666.66500000001
Malard,8333.33
Marzdaran,279472.22222222225
Mehrabad,206666.67
Mehrabad River River,86666.67
Mehran,170291.66625
Mirdamad,237666.665
Mirza Shirazi,136666.67
Moniriyeh,72066.66500000001
Narmak,104858.33333333333
Nasim Shahr,27666.665
Nawab,48083.33
Naziabad,21333.33
Nezamabad,68916.66500000001
Niavaran,272875.0008333333
North Program Organization,129798.61125
Northern Chitgar,34489.584375
Northern Janatabad,109611.11090909092
Northern Suhrawardi,189166.6675
Northren Jamalzadeh,116880.95214285715
Ostad Moein,64784.739277108434
Ozgol,171895.8325
Pakdasht,27426.6656
Pakdasht KhatunAbad,28333.33
Parand,17453.01874015748
Parastar,61458.33375
Pardis,25927.39732876712
Pasdaran,265040.74074074073
Persian Gulf Martyrs Lake,102752.65125000001
Pirouzi,72499.99968253968
Pishva,11333.335
Punak,124276.81161490682
Qalandari,240033.33399999997
Qarchak,24224.0
Qasr-od-Dasht,50485.71392857143
Qazvin Imamzadeh Hassan,51984.84909090909
Railway,122912.12090909091
Ray,60218.51777777778
Ray - Montazeri,41666.67
Ray - Pilgosh,33000.0
Razi,44633.33428571428
Republic,55491.665
Robat Karim,10916.67
Rudhen,67527.27272727272
Saadat Abad,233193.1463551402
SabaShahr,73333.33
Sabalan,58333.335
Sadeghieh,158166.66666666666
Safadasht,31280.0
Salehabad,25000.0
Salsabil,46566.97266666666
Sattarkhan,120424.2418181818
Seyed Khandan,212111.1133333333
Shadabad,29666.67
Shahedshahr,30853.332000000002
Shahr-e-Ziba,98865.4324074074
ShahrAra,201000.0
Shahrake Apadana,190000.0
Shahrake Azadi,44666.665
Shahrake Gharb,300547.72704545455
Shahrake Madaen,26666.67
Shahrake Qods,30030.72463768116
Shahrake Quds,30233.333999999995
Shahrake Shahid Bagheri,82500.0
Shahrakeh Naft,195555.55333333332
Shahran,99525.1286923077
Shahryar,72356.41
Shams Abad,115083.33375
Shoosh,35333.335
Si Metri Ji,56175.36217391305
Sohanak,248266.67
Southern Chitgar,76393.334
Southern Janatabad,105948.38731182796
Southern Program Organization,93652.17434782608
Southern Suhrawardi,148500.0
Tajrish,266388.88833333337
Tarasht,117972.22166666666
Taslihat,74166.66500000001
Tehran Now,70000.0
Tehransar,71625.00125
Telecommunication,26000.0
Tenant,62402.89956521739
Thirteen November,26666.67
Vahidieh,37583.335
Vahidiyeh,18466.665
Valiasr,97319.04857142856
Vanak,263333.33
Varamin - Beheshti,116666.67
Velenjak,350020.83499999996
Villa,137666.67
Water Organization,103333.335
Waterfall,120722.22333333333
West Ferdows Boulevard,96697.66916083916
West Pars,145878.78636363635
Yaftabad,41666.67
Yakhchiabad,33333.33
Yousef Abad,218254.63
Zafar,191644.44555555555
Zaferanieh,339000.0
Zargandeh,235600.0
Zibadasht,145000.0
